query,metric,value,who
DOM manipulation utils,map@3,0.0980392156862745,borda_fuse
DOM manipulation utils,mrr@3,1.0,borda_fuse
DOM manipulation utils,ndcg@3,0.7039180890341347,borda_fuse
DOM manipulation utils,precision@3,0.6666666666666666,borda_fuse
DOM manipulation utils,recall@3,0.11764705882352941,borda_fuse
DOM manipulation utils,f1@3,0.2,borda_fuse
DOM manipulation utils,map@5,0.1892156862745098,borda_fuse
DOM manipulation utils,mrr@5,1.0,borda_fuse
DOM manipulation utils,ndcg@5,0.7860137352654724,borda_fuse
DOM manipulation utils,precision@5,0.8,borda_fuse
DOM manipulation utils,recall@5,0.23529411764705882,borda_fuse
DOM manipulation utils,f1@5,0.3636363636363636,borda_fuse
DOM manipulation utils,map@7,0.2886554621848739,borda_fuse
DOM manipulation utils,mrr@7,1.0,borda_fuse
DOM manipulation utils,ndcg@7,0.8265723430117605,borda_fuse
DOM manipulation utils,precision@7,0.8571428571428571,borda_fuse
DOM manipulation utils,recall@7,0.35294117647058826,borda_fuse
DOM manipulation utils,f1@7,0.5,borda_fuse
captcha authentication,map@3,0.5,borda_fuse
captcha authentication,mrr@3,1.0,borda_fuse
captcha authentication,ndcg@3,0.7653606369886217,borda_fuse
captcha authentication,precision@3,0.6666666666666666,borda_fuse
captcha authentication,recall@3,0.5,borda_fuse
captcha authentication,f1@3,0.5714285714285715,borda_fuse
captcha authentication,map@5,0.5,borda_fuse
captcha authentication,mrr@5,1.0,borda_fuse
captcha authentication,ndcg@5,0.6366824387328317,borda_fuse
captcha authentication,precision@5,0.4,borda_fuse
captcha authentication,recall@5,0.5,borda_fuse
captcha authentication,f1@5,0.4444444444444445,borda_fuse
captcha authentication,map@7,0.5,borda_fuse
captcha authentication,mrr@7,1.0,borda_fuse
captcha authentication,ndcg@7,0.6366824387328317,borda_fuse
captcha authentication,precision@7,0.2857142857142857,borda_fuse
captcha authentication,recall@7,0.5,borda_fuse
captcha authentication,f1@7,0.36363636363636365,borda_fuse
check valid email address,map@3,0.006060606060606061,borda_fuse
check valid email address,mrr@3,0.3333333333333333,borda_fuse
check valid email address,ndcg@3,0.23463936301137822,borda_fuse
check valid email address,precision@3,0.3333333333333333,borda_fuse
check valid email address,recall@3,0.01818181818181818,borda_fuse
check valid email address,f1@3,0.034482758620689655,borda_fuse
check valid email address,map@5,0.02606060606060606,borda_fuse
