query,metric,value,who
DOM manipulation utils,map@3,0.0,ollama-llama2:7b-chat
DOM manipulation utils,mrr@3,0.0,ollama-llama2:7b-chat
DOM manipulation utils,ndcg@3,0.0,ollama-llama2:7b-chat
DOM manipulation utils,precision@3,0.0,ollama-llama2:7b-chat
DOM manipulation utils,recall@3,0.0,ollama-llama2:7b-chat
DOM manipulation utils,f1@3,0.0,ollama-llama2:7b-chat
DOM manipulation utils,map@5,0.0,ollama-llama2:7b-chat
DOM manipulation utils,mrr@5,0.0,ollama-llama2:7b-chat
DOM manipulation utils,ndcg@5,0.0,ollama-llama2:7b-chat
DOM manipulation utils,precision@5,0.0,ollama-llama2:7b-chat
DOM manipulation utils,recall@5,0.0,ollama-llama2:7b-chat
DOM manipulation utils,f1@5,0.0,ollama-llama2:7b-chat
DOM manipulation utils,map@7,0.0,ollama-llama2:7b-chat
DOM manipulation utils,mrr@7,0.0,ollama-llama2:7b-chat
DOM manipulation utils,ndcg@7,0.0,ollama-llama2:7b-chat
DOM manipulation utils,precision@7,0.0,ollama-llama2:7b-chat
DOM manipulation utils,recall@7,0.0,ollama-llama2:7b-chat
DOM manipulation utils,f1@7,0.0,ollama-llama2:7b-chat
calculate word similarity,map@3,0.0,ollama-llama2:7b-chat
calculate word similarity,mrr@3,0.0,ollama-llama2:7b-chat
calculate word similarity,ndcg@3,0.0,ollama-llama2:7b-chat
calculate word similarity,precision@3,0.0,ollama-llama2:7b-chat
calculate word similarity,recall@3,0.0,ollama-llama2:7b-chat
calculate word similarity,f1@3,0.0,ollama-llama2:7b-chat
calculate word similarity,map@5,0.0,ollama-llama2:7b-chat
calculate word similarity,mrr@5,0.0,ollama-llama2:7b-chat
calculate word similarity,ndcg@5,0.0,ollama-llama2:7b-chat
calculate word similarity,precision@5,0.0,ollama-llama2:7b-chat
calculate word similarity,recall@5,0.0,ollama-llama2:7b-chat
calculate word similarity,f1@5,0.0,ollama-llama2:7b-chat
calculate word similarity,map@7,0.0,ollama-llama2:7b-chat
calculate word similarity,mrr@7,0.0,ollama-llama2:7b-chat
calculate word similarity,ndcg@7,0.0,ollama-llama2:7b-chat
calculate word similarity,precision@7,0.0,ollama-llama2:7b-chat
calculate word similarity,recall@7,0.0,ollama-llama2:7b-chat
calculate word similarity,f1@7,0.0,ollama-llama2:7b-chat
captcha authentication,map@3,0.0,ollama-llama2:7b-chat
captcha authentication,mrr@3,0.0,ollama-llama2:7b-chat
captcha authentication,ndcg@3,0.0,ollama-llama2:7b-chat
captcha authentication,precision@3,0.0,ollama-llama2:7b-chat
captcha authentication,recall@3,0.0,ollama-llama2:7b-chat
captcha authentication,f1@3,0.0,ollama-llama2:7b-chat
captcha authentication,map@5,0.0,ollama-llama2:7b-chat
captcha authentication,mrr@5,0.0,ollama-llama2:7b-chat
captcha authentication,ndcg@5,0.0,ollama-llama2:7b-chat
captcha authentication,precision@5,0.0,ollama-llama2:7b-chat
captcha authentication,recall@5,0.0,ollama-llama2:7b-chat
captcha authentication,f1@5,0.0,ollama-llama2:7b-chat
captcha authentication,map@7,0.0,ollama-llama2:7b-chat
captcha authentication,mrr@7,0.0,ollama-llama2:7b-chat
captcha authentication,ndcg@7,0.0,ollama-llama2:7b-chat
captcha authentication,precision@7,0.0,ollama-llama2:7b-chat
captcha authentication,recall@7,0.0,ollama-llama2:7b-chat
captcha authentication,f1@7,0.0,ollama-llama2:7b-chat
check valid email address,map@3,0.01818181818181818,ollama-llama2:7b-chat
check valid email address,mrr@3,1.0,ollama-llama2:7b-chat
check valid email address,ndcg@3,0.46927872602275644,ollama-llama2:7b-chat
check valid email address,precision@3,0.3333333333333333,ollama-llama2:7b-chat
check valid email address,recall@3,0.01818181818181818,ollama-llama2:7b-chat
check valid email address,f1@3,0.034482758620689655,ollama-llama2:7b-chat
check valid email address,map@5,0.01818181818181818,ollama-llama2:7b-chat
check valid email address,mrr@5,1.0,ollama-llama2:7b-chat
check valid email address,ndcg@5,0.3391602052736161,ollama-llama2:7b-chat
check valid email address,precision@5,0.2,ollama-llama2:7b-chat
check valid email address,recall@5,0.01818181818181818,ollama-llama2:7b-chat
check valid email address,f1@5,0.03333333333333333,ollama-llama2:7b-chat
check valid email address,map@7,0.01818181818181818,ollama-llama2:7b-chat
check valid email address,mrr@7,1.0,ollama-llama2:7b-chat
check valid email address,ndcg@7,0.27487633291429087,ollama-llama2:7b-chat
check valid email address,precision@7,0.14285714285714285,ollama-llama2:7b-chat
check valid email address,recall@7,0.01818181818181818,ollama-llama2:7b-chat
check valid email address,f1@7,0.032258064516129024,ollama-llama2:7b-chat
convert data formats,map@3,0.0,ollama-llama2:7b-chat
convert data formats,mrr@3,0.0,ollama-llama2:7b-chat
convert data formats,ndcg@3,0.0,ollama-llama2:7b-chat
convert data formats,precision@3,0.0,ollama-llama2:7b-chat
convert data formats,recall@3,0.0,ollama-llama2:7b-chat
convert data formats,f1@3,0.0,ollama-llama2:7b-chat
convert data formats,map@5,0.0,ollama-llama2:7b-chat
convert data formats,mrr@5,0.0,ollama-llama2:7b-chat
convert data formats,ndcg@5,0.0,ollama-llama2:7b-chat
convert data formats,precision@5,0.0,ollama-llama2:7b-chat
convert data formats,recall@5,0.0,ollama-llama2:7b-chat
convert data formats,f1@5,0.0,ollama-llama2:7b-chat
convert data formats,map@7,0.0,ollama-llama2:7b-chat
convert data formats,mrr@7,0.0,ollama-llama2:7b-chat
convert data formats,ndcg@7,0.0,ollama-llama2:7b-chat
convert data formats,precision@7,0.0,ollama-llama2:7b-chat
convert data formats,recall@7,0.0,ollama-llama2:7b-chat
convert data formats,f1@7,0.0,ollama-llama2:7b-chat
convert text to speech,map@3,0.0,ollama-llama2:7b-chat
convert text to speech,mrr@3,0.0,ollama-llama2:7b-chat
convert text to speech,ndcg@3,0.0,ollama-llama2:7b-chat
convert text to speech,precision@3,0.0,ollama-llama2:7b-chat
convert text to speech,recall@3,0.0,ollama-llama2:7b-chat
convert text to speech,f1@3,0.0,ollama-llama2:7b-chat
convert text to speech,map@5,0.0,ollama-llama2:7b-chat
convert text to speech,mrr@5,0.0,ollama-llama2:7b-chat
convert text to speech,ndcg@5,0.0,ollama-llama2:7b-chat
