name,has_scope1,version_stable1,has_description1,has_keywords1,last_release1,#maintainers1,#links1,#dependencies1,#releases_month1,#releases_3month1,#releases_6month1,#releases_year1,#releases_2year1,has_selective_files1,#downloads_day1,#downloads_week1,#downloads_month1,#downloads_3month1,#downloads_6month1,#downloads_year1,#dependents1,npm_stars1,has_github1,has_home1,gh_stars1,forks1,subscribers1,issues1,open_issues1,issues_disabled1,contributors1,commits_week1,commits_month1,commits_3month1,commits_6month1,commits_year1,#statuses1,is_open_sourse1,has_readme1,has_test1,has_changelog1,#badges1,#linters1,#coverage1,#outdated_deps1,description
3d-view,0,1,1,1,0,1,4,3,0,0,0,0,0,0,466,12098,48930,131679,227824,396416,8,0,1,1,7,2,4,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0.0,0,3D camera view controller
@adonisjs/generic-exceptions,1,1,1,1,1,1,4,2,0,2,2,4,4,0,0,1753,8993,21941,29824,32833,23,0,1,0,1,2,1,2,0,0,2,0,0,2,3,6,0,1,1,1,1,0,1,0.0,1,List of generic exceptions to be used in all other repos
@angular/animations,1,1,1,0,1,1,4,1,7,22,51,98,103,0,0,310198,1914467,5275947,9791761,13942472,1926,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,Angular - animations integration with web-animations
@angular/common,1,1,1,0,1,1,4,1,7,22,51,99,160,0,0,400968,2496209,6925765,13466023,22560347,4128,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,Angular - commonly needed directives and services
@angular/compiler,1,1,1,0,1,1,4,1,7,22,51,99,160,0,0,402519,2502548,7066740,13690641,23106293,3582,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,Angular - the compiler library
@angular/core,1,1,1,0,1,1,4,1,7,22,51,99,160,0,0,409531,2568214,7239096,13994874,23611016,4575,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,Angular - the core framework
@angular/forms,1,1,1,0,1,1,4,1,7,22,51,99,150,0,0,386644,2398354,6724868,13006960,21725401,3316,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,Angular - directives and services for creating forms
@angular/platform-browser,1,1,1,0,1,1,4,1,7,22,51,98,159,0,0,395203,2460622,6931948,13399824,22410510,3685,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,Angular - library for using Angular in a web browser
@angular/platform-browser-dynamic,1,1,1,0,1,1,4,1,7,22,51,98,159,0,0,390884,2434618,6820192,13183161,22029431,3304,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,Angular - library for using Angular in a web browser with JIT compilation
@angular/platform-server,1,1,1,0,1,1,4,3,7,22,51,98,159,0,0,100301,645816,1867671,3656535,6224808,380,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,1,Angular - library for using Angular in Node.js
@angular/router,1,1,1,1,1,1,4,1,7,22,51,99,168,0,0,346765,2164187,6065839,11697870,19624826,3016,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,Angular - the routing library
