query,borda_fuse
calculate word similarity,[]
captcha authentication,"['jacket-captcha', 'googleclientlogin', 'homosapien']"
check valid email address,"['isemail', 'nice-is-email', 'validate.io', 'testdata-invalid-email', 'email-deep-validator', 'is-email-node', 'testdata-valid-email', 'is-email-like', 'email-address-check', 'enhanced-email-deep-validator', 'validate-email-shootout', 'validate-email', 'mailgun-email-validation', 'tcomb-additional-types', 'legit', 'email-exists', 'testdata-newtld-email', 'formula-isemail', 'email-existence']"
convert data formats,"['spritesheet-templates', 'write-yaml', 'pcm-convert', 'csf-convert', 'spritesheet-templates-steamer', 'nodejs-jekyll-to-ghost', 'json-transmute', 'fhir-converter', 'insightly-to-vcard', 'pdf-extract', 'json2lcov', 'spritesheet-templates-x3', 'argumints', 'metrics2xlsx', 'aoot', 'movingai2json', 'tsvert', 'kifu-parser', 'converter']"
convert text to speech,"['aws-tts', 'vui-ad-hoc-alexa-recognizer', 'node-red-contrib-voicerss-tts', 'react-speech-recognition', 'iobroker.sayit', 'festival', 'bingspeechrecognition-api']"
convert typewritten image to text,[]
credit card validation,"['credit-card', 'creditcard.js', 'luhn-alg', 'credit-card-validation', 'luhn', 'card-js', 'react-card-input', 'card-validator', 'mod10', 'joi-creditcard-extension', 'jquery.payment', 'is2', 'bp-creditcards', 'angular-credit-cards', 'payment', 'npmdoc-credit-card', 'creditcards-types', 'isccnumber', 'vava', 'stripe-card-validator', 'payform', 'card-validate', 'creditcardutils', 'cc-validator-node', 'node-luhn', 'npmtest-credit-card', 'angular-credit-cards-release', 'parsley-payment', 'angular.validators', 'luhn-check', 'bp-angular-credit-cards', 'credit-card-es6', 'valid-card-number', 'credit-card-validator', 'gi-commerce', 'is2-2']"
detect text language,"['franc', 'franc-min', 'franc-all', 'retext-language', 'franc-cli', 'retext-sentiment', 'polarity', 'tika', 'detect-lang', 'speak-tts']"
DOM manipulation utils,"['realdom', 'tsdom', 'ng-html-util', 'dom101', 'tagbuildr', 'react-classset', 'domanip', 'css-util', 'elementsJS', 'tnt-dom', 'dom-util', 'quasi', 'dom101-2', 'eurostar-dom-utility', 'sebastiendaniel-utilities', 'jvg', 'aegis-js']"
download free music,"['grooveshark-streaming', 'eat-daily-jam', 'grooveshark-downloader']"
download web videos,"['snape', 'webvd', 'peardownloader', 'jul11co-webdl', 'evdh']"
extract barcode from image,['bytescout']
filter adult content images,[]
health tracker,"['webtorrent-health', 'lifetracker', 'torrent-tracker-health', 'carotte-dashboard', 'torrent-tracker-health-ce', 'quantified', 'windows.devices.pointofservice']"
lightweight 3D graphic library,[]
mathematical functions,"['es6-math', 'random-pro', 'mathsass', 'coffeelint-config-groupon', 'keen-query', 'graphy-js', 'eslint-config-groupon-react', 'insect', 'simple-math', 'rational-number', 'zol', 'rpgdicejs', 'pusher.math', 'mathjs', 'contour_plot', 'expr-eval', 'math_example_sean', 'gamma', 'math-extras', 'nearest-periodic-value', 'more-math', 'contained-periodic-values', 'sylver', 'skipped-periodic-values', 'numjs', 'chi-squared', 'tiered-numbering', 'golden-type', 'compute-signum', 'adnn', 'math.js', 'squarejs', 'compute-erf', 'complex-dice', 'math-evalrational', 'mathfunctions', 'math-gamma', 'rawdevjs-math-matrix', 'compute-erfinv', 'misual', 'math-erf', 'rawdevjs-math-color', 'math-erfc', 'gannit', 'compute-erfc', 'wolkd', 'math-digamma', 'pyextjs', 'compute-erfcinv', 'numjsx', 'eslint-config-groupon-node6', 'json-e', 'ete', 'eslint-config-groupon-es5', 'pocketwrench', 'num4js', 'bigbang', 'eslint-config-groupon-node4', 'jqx-elements', 'math', 'dicetower', 'gsl-sf', 'stylint-config-groupon']"
mobile app framework,"['samson.js', 'thf-mobile-cli', 'ionic-logging-service', 'librestapi', 'islider.js', 'generator-adaptiveme', 'generator-angular-pro', 'generator-m-ionic', 'sabertooth', 'catjs', 'generator-hybreed', 'catjs.origins.05', 'xone', 'generator-iac', 'point-sass', 'softmotions-fm7-keypad', 'relax-velocity-animate', 'ionic-app-lib', 'touchstonejs', 'chocolatechipui', 'vue-onsenui', 'toloframework', 'kiwii', 'backpak', 'npmtest-ionic-framework', 'hotsdk', 'npmdoc-ionic-framework', 'ionic-material', 'hitaar', 'zeanium-rt-ui', 'ionic-sdk-unofficial', 'mo-cmdline', 'mo-modules', 'mo-api', 'mo-tools', 'mo-cl', 'indui-app-lib', 'mo-framework', 'ionic-app-lib-no-cordova-mock', 'indui', 'shark-framework', 'ionic-run-external-address', 'ionic-framework-ais', 'ionic-no-cordova-mock', 'ionic-angular-gnucoop', 'zlzf7', 'iso-swiper', 'generator-ionizer', 'dreamface-compiler', 'generator-miojo', 'generator-ionic-cloud', 'tea.js', 'bravocart', 'canvas2d']"
quick sort algorithm,"['js-sorting-algorithms', 'ndarray-select', 'ds.algo', 'js-quicksort', 'via-sort', 'qsort.js', 'sort-algorithms', 'jsonfp', 'quick-sort', 'sort-algorithms-js', 'node-sort', 'sorting']"
rank aggregation algorithms,[]
