package_name,description,url,year_of_release,justification,pros,cons,query,who
grooveshark-streaming,Log usage of deprecated methods,null,null,[],[],[],download free music,aidt
grooveshark-downloader,The [Calypso](https://github.com/Automattic/wp-calypso/) / [WordPress.com](https://wordpress.com) official icon set.,null,null,[],[],[],download free music,aidt
eat-daily-jam,"React and redux based, lightweight and elm-style framework.",null,null,[],[],[],download free music,aidt
jul11co-webdl,Inlines css into html source,null,null,[],[],[],download web videos,aidt
peardownloader,An open-source standards-friendly JavaScript utility for embedding PDF files into HTML documents,null,null,[],[],[],download web videos,aidt
webvd,a video downloader that crawls the web,null,null,[],[],[],download web videos,aidt
evdh,Checks for valid structure of ethereum web3-secret-storage/presale keyfiles,null,null,[],[],[],download web videos,aidt
snape,A web application to search and stream torrents.,null,null,[],[],[],download web videos,aidt
isemail,Check if the current session runs XFCE desktop,null,null,[],[],[],check valid email address,aidt
testdata-valid-email,"A list of valid, frequently ugly email addresses for use in automated testing",null,null,[],[],[],check valid email address,aidt
validate.io,Validation utilities.,null,null,[],[],[],check valid email address,aidt
nice-is-email,nice-is-email,null,null,[],[],[],check valid email address,aidt
testdata-invalid-email,testdata-invalid-email,null,null,[],[],[],check valid email address,aidt
email-deep-validator,email-deep-validator,null,null,[],[],[],check valid email address,aidt
is-email-node,is-email-node,null,null,[],[],[],check valid email address,aidt
is-email-like,is-email-like,null,null,[],[],[],check valid email address,aidt
email-address-check,email-address-check,null,null,[],[],[],check valid email address,aidt
enhanced-email-deep-validator,enhanced-email-deep-validator,null,null,[],[],[],check valid email address,aidt
send-sms,Better streaming static file server with Range and conditional-GET support,null,null,[],[],[],send sms,aidt
react-native-send-intent,The native search bar for react native.,null,null,[],[],[],send sms,aidt
pswincom-gateway,pswincom-gateway,null,null,[],[],[],send sms,aidt
thehelp-last-ditch,thehelp-last-ditch,null,null,[],[],[],send sms,aidt
nimbow-client,nimbow-client,null,null,[],[],[],send sms,aidt
weimi,weimi,null,null,[],[],[],send sms,aidt
thehelp-messaging,thehelp-messaging,null,null,[],[],[],send sms,aidt
cordova-sms-all-devices-plugin,cordova-sms-all-devices-plugin,null,null,[],[],[],send sms,aidt
sms-by-luosima,sms-by-luosima,null,null,[],[],[],send sms,aidt
smsblackberry-plugbunch-cordova-plugin,smsblackberry-plugbunch-cordova-plugin,null,null,[],[],[],send sms,aidt
sort-algorithms-js,production-ready sort algorithms implementation in javascript.,null,null,[],[],[],quick sort algorithm,aidt
js-sorting-algorithms,Generates UML sequence diagrams from simple text,null,null,[],[],[],quick sort algorithm,aidt
sort-algorithms,Sorting algorithms written in and made for Python lists and tuples,null,null,[],[],[],quick sort algorithm,aidt
ndarray-select,ndarray-select,null,null,[],[],[],quick sort algorithm,aidt
ds.algo,ds.algo,null,null,[],[],[],quick sort algorithm,aidt
js-quicksort,js-quicksort,null,null,[],[],[],quick sort algorithm,aidt
via-sort,via-sort,null,null,[],[],[],quick sort algorithm,aidt
qsort.js,qsort.js,null,null,[],[],[],quick sort algorithm,aidt
jsonfp,jsonfp,null,null,[],[],[],quick sort algorithm,aidt
quick-sort,quick-sort,null,null,[],[],[],quick sort algorithm,aidt
entryway,entryway,null,null,[],[],[],user authentication,aidt
dnt-connect,dnt-connect,null,null,[],[],[],user authentication,aidt
entryway-dynamodb,entryway-dynamodb,null,null,[],[],[],user authentication,aidt
autobackend,autobackend,null,null,[],[],[],user authentication,aidt
cansecurity,cansecurity,null,null,[],[],[],user authentication,aidt
authjet,authjet,null,null,[],[],[],user authentication,aidt
norman-auth-client,norman-auth-client,null,null,[],[],[],user authentication,aidt
norman-auth-server,norman-auth-server,null,null,[],[],[],user authentication,aidt
user-management,user-management,null,null,[],[],[],user authentication,aidt
seneca-auth,seneca-auth,null,null,[],[],[],user authentication,aidt
bytescout,A Butter provider for Archive.org,null,null,[],[],[],extract barcode from image,aidt
write-yaml,Write YAML. Converts JSON to YAML writes it to the specified file.,null,null,[],[],[],convert data formats,aidt
csf-convert,Fast multidimensional filtering for coordinated views.,null,null,[],[],[],convert data formats,aidt
pcm-convert,"Easy salt/password creation for Node.js, extracted from Mosca",null,null,[],[],[],convert data formats,aidt
spritesheet-templates,spritesheet-templates,null,null,[],[],[],convert data formats,aidt
spritesheet-templates-steamer,spritesheet-templates-steamer,null,null,[],[],[],convert data formats,aidt
nodejs-jekyll-to-ghost,nodejs-jekyll-to-ghost,null,null,[],[],[],convert data formats,aidt
json-transmute,json-transmute,null,null,[],[],[],convert data formats,aidt
