query,humans
calculate word similarity,"['string-similarity', 'similarity', 'symlar', 'jots', 'leven']"
captcha authentication,"['react-captcha', 'react-google-recaptcha', 'svg-captcha', 'captchagen', 'captcha']"
check valid email address,"['isemail', 'testdata-valid-email', 'validate.io', 'email-existence', 'valid-email']"
convert data formats,"['pcm-convert', 'write-yaml', 'format-object', 'csf-convert', 'lambdas either']"
convert text to speech,"['mespeak', 'cordova-plugin-tts', 'google-tts']"
convert typewritten image to text,"['node-tesseract', 'ocr', 'ng-ocr', 'okrabyte', 'ocr-by-image-url']"
credit card validation,"['card-validator', 'creditcard.js', 'simple-card', 'jquery.payment', 'credit-card']"
detect text language,"['franc', 'cld', 'tika', 'languagedetect', 'guesslanguage.js']"
DOM manipulation utils,"['dom101', 'realdom', 'sdf-query', 'mojule/dom-utils', 'dom-util']"
download free music,"['grooveshark-streaming', 'eat-daily-jam', 'grooveshark-downloader']"
download web videos,"['jul11co-webdl', 'webvd', 'peardownloader', 'evdh', 'snape']"
extract barcode from image,"['quaggajs', 'nativescript-barcodescanner', 'jquery-scanner-detection', 'webcodecamjs', 'barcodereader']"
filter adult content images,"['nudity-filter', 'nude']"
health tracker,"['webtorrent-health', 'bittorrent-tracker', 'torrent-tracker-health', 'torrent-tracker-health-ce', 'torrent-discovery']"
lightweight 3D graphic library,"['metrics-grafics', 'axis3d', 'd3-thermometer', 'd3-shape', 'draco3d']"
mathematical functions,"['mathjs', 'gamma', 'nearest-periodic-value', 'contained-periodic-values', 'gamma']"
mobile app framework,"['onsen ui', 'zview-mobile', 'thf-mobile-cli', 'swiper', 'ionic']"
quick sort algorithm,"['js-sorting-algorithms', 'ndarray', 'sort-algorithms-js', 'qsort', 'js_quiksort']"
rank aggregation algorithms,"['ranking', 'elo-ranking', 'hot-ranking', 'ranked', 'poker-ranking']"
scraper,"['cheerio', 'google-play-scraper', 'open-graph-scraper', 'website-scraper', 'scraper']"
send sms,"['react-native-send-intent', 'sending sms', 'react-native-sms', 'send-sms', 'sms', 'textmagic sms']"
sentiment analysis,"['sentiment', 'retext-sentiment', 'node-sentiment', 'troll', 'sentimental']"
third party authentication,"['oauth-rest-atlassian', 'angular-visor', 'socketio-auth', 'passport-gumroad', 'aurelia-auth']"
translate english to spanish,"['translate', 'angular-translate', 'translate.js', 'react-intl', 'hashtranslate']"
user authentication,"['passport', 'accountdown', 'provide-user', 'accountdown-basic', 'township-auth']"
