query,npmjs
calculate word similarity,[]
captcha authentication,"['jacket-captcha', 'homosapien']"
check valid email address,"['isemail', 'nice-is-email', 'validate.io', 'testdata-invalid-email', 'email-deep-validator', 'is-email-node', 'testdata-valid-email', 'is-email-like', 'email-address-check', 'enhanced-email-deep-validator', 'validate-email-shootout', 'validate-email', 'mailgun-email-validation', 'tcomb-additional-types', 'legit', 'email-exists', 'testdata-newtld-email', 'formula-isemail', 'email-existence']"
convert data formats,"['spritesheet-templates', 'write-yaml', 'pcm-convert', 'csf-convert', 'spritesheet-templates-steamer', 'nodejs-jekyll-to-ghost', 'json-transmute', 'fhir-converter', 'insightly-to-vcard', 'pdf-extract', 'json2lcov', 'spritesheet-templates-x3', 'argumints', 'metrics2xlsx', 'aoot', 'movingai2json', 'tsvert', 'kifu-parser', 'converter']"
convert text to speech,"['vui-ad-hoc-alexa-recognizer', 'aws-tts', 'react-speech-recognition', 'festival', 'bingspeechrecognition-api']"
convert typewritten image to text,[]
credit card validation,"['card-validator', 'credit-card', 'jquery.payment', 'creditcard.js', 'angular-credit-cards', 'payment', 'credit-card-validation', 'creditcards-types', 'luhn', 'luhn-alg', 'is2', 'payform', 'creditcardutils', 'node-luhn', 'angular-credit-cards-release', 'angular.validators', 'bp-angular-credit-cards', 'valid-card-number']"
detect text language,"['franc', 'franc-min', 'franc-all', 'retext-language', 'franc-cli', 'retext-sentiment', 'polarity', 'tika', 'detect-lang', 'speak-tts']"
DOM manipulation utils,"['realdom', 'tsdom', 'ng-html-util', 'dom101', 'tagbuildr', 'react-classset', 'domanip', 'css-util', 'elementsjs', 'tnt-dom', 'dom-util', 'quasi', 'dom101-2', 'eurostar-dom-utility', 'sebastiendaniel-utilities', 'jvg', 'aegis-js']"
download free music,"['eat-daily-jam', 'grooveshark-streaming', 'grooveshark-downloader']"
download web videos,"['snape', 'webvd', 'peardownloader', 'jul11co-webdl', 'evdh']"
extract barcode from image,['bytescout']
filter adult content images,[]
health tracker,"['webtorrent-health', 'lifetracker', 'torrent-tracker-health', 'carotte-dashboard', 'torrent-tracker-health-ce', 'quantified', 'windows.devices.pointofservice']"
lightweight 3D graphic library,[]
mathematical functions,"['mathjs', 'expr-eval', 'gamma', 'nearest-periodic-value', 'contained-periodic-values', 'skipped-periodic-values', 'chi-squared', 'es6-math', 'compute-signum', 'math.js', 'compute-erf', 'math-evalrational', 'math-gamma', 'compute-erfinv', 'math-erf', 'math-erfc', 'compute-erfc', 'math-digamma', 'compute-erfcinv']"
mobile app framework,"['thf-mobile-cli', 'ionic-logging-service', 'librestapi', 'islider.js', 'samson.js', 'generator-adaptiveme', 'generator-angular-pro', 'generator-m-ionic', 'sabertooth', 'catjs', 'generator-hybreed', 'catjs.origins.05', 'xone', 'generator-iac', 'point-sass', 'softmotions-fm7-keypad', 'ionic-app-lib', 'chocolatechipui', 'toloframework', 'backpak', 'hotsdk', 'ionic-material', 'zeanium-rt-ui', 'ionic-sdk-unofficial', 'mo-modules', 'mo-tools', 'indui-app-lib', 'ionic-app-lib-no-cordova-mock', 'indui', 'shark-framework', 'ionic-run-external-address', 'ionic-framework-ais', 'ionic-no-cordova-mock', 'ionic-angular-gnucoop', 'zlzf7', 'iso-swiper', 'generator-ionizer', 'dreamface-compiler', 'generator-miojo', 'generator-ionic-cloud', 'tea.js', 'bravocart', 'canvas2d']"
quick sort algorithm,"['js-sorting-algorithms', 'ndarray-select', 'js-quicksort', 'via-sort', 'qsort.js', 'sort-algorithms', 'quick-sort', 'sort-algorithms-js', 'ds.algo', 'node-sort', 'sorting']"
rank aggregation algorithms,[]
